name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories,hours,gmap_id,url
Circle K,2657 Colonial Blvd,Fort Myers,FL,33907,26.597867899999997,-81.85813139999999,2.6,8,['convenience Store' 'atm' 'coffee Shop' 'coffee Store' 'diesel Fuel Supplier' 'gas Station' 'snack Bar' 'soft Drinks Shop'],"[array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)]",0x88db6a9b1ef36585:0x3245afb32015aae5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88db6a9b1ef36585:0x3245afb32015aae5?authuser=-1&hl=en&gl=us
Texaco,20406 W Central Ave,Blountstown,FL,32424,30.4434537,-85.04952589999999,4.1,7,['gas Station' 'auto Repair Shop' 'convenience Store' 'diesel Fuel Supplier' 'fuel Pump' 'gas Company'],,0x88933624e2d938d3:0x7c73a702b40692c6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88933624e2d938d3:0x7c73a702b40692c6?authuser=-1&hl=en&gl=us
Sunoco Gas Station,3025 E Colonial Dr,Orlando,FL,32803,28.5536805,-81.3451647,3.4,5,['gas Station' 'alternative Fuel Station'],"[array(['Thursday', '6AM–10PM'], dtype=object)
 array(['Friday', '6AM–11PM'], dtype=object)
 array(['Saturday', '7AM–11PM'], dtype=object)
 array(['Sunday', '7AM–9PM'], dtype=object)
 array(['Monday', '6AM–10PM'], dtype=object)
 array(['Tuesday', '6AM–10PM'], dtype=object)
 array(['Wednesday', '6AM–10PM'], dtype=object)]",0x88e77acc037f6009:0x28f1b6a0179c0ad,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77acc037f6009:0x28f1b6a0179c0ad?authuser=-1&hl=en&gl=us
Kangaroo Express,3180 Coastal Hwy,Crawfordville,FL,32327,30.1061248,-84.3801574,3.9,8,['convenience Store' 'coffee Shop' 'diesel Fuel Supplier' 'fuel Pump' 'gas Station'],"[array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)]",0x88ec83be70a9ed6d:0xe3d0df58aa98b380,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88ec83be70a9ed6d:0xe3d0df58aa98b380?authuser=-1&hl=en&gl=us
Suburban Propane,4420 Woodville Hwy,Tallahassee,FL,32305,30.378552799999998,-84.2725774,4.0,46,['propane Supplier' 'gas Company' 'oil & Natural Gas Company'],"[array(['Thursday', '8AM–5PM'], dtype=object)
 array(['Friday', '8AM–5PM'], dtype=object)
 array(['Saturday', 'Closed'], dtype=object)
 array(['Sunday', 'Closed'], dtype=object)
 array(['Monday', '8AM–5PM'], dtype=object)
 array(['Tuesday', '8AM–5PM'], dtype=object)
 array(['Wednesday', '8AM–5PM'], dtype=object)]",0x88ec8a9f9d45a78f:0x69bbf2cf37b4e7c4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88ec8a9f9d45a78f:0x69bbf2cf37b4e7c4?authuser=-1&hl=en&gl=us
Kangaroo,8796 E Church Ave,Hastings,FL,32145,29.713962499999997,-81.50771759999999,3.6,7,['convenience Store' 'coffee Shop' 'diesel Fuel Supplier' 'fuel Pump' 'gas Station'],"[array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)]",0x88e687f089e1065b:0xdb776173245e6b65,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e687f089e1065b:0xdb776173245e6b65?authuser=-1&hl=en&gl=us
Circle K,3420 Handy Rd,Tampa,FL,33618,28.0745832,-82.5061332,2.2,8,['convenience Store' 'atm' 'coffee Shop' 'coffee Store' 'diesel Fuel Supplier' 'gas Station' 'public Bathroom' 'snack Bar' 'soft Drinks Shop'],"[array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)]",0x88537f4eb8defbb7:0x87096cbf3a3355ea,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88537f4eb8defbb7:0x87096cbf3a3355ea?authuser=-1&hl=en&gl=us
Circle K,11525 Kingfisher Dr,Clermont,FL,34711,28.515290399999998,-81.7631548,2.9,8,['convenience Store' 'atm' 'car Wash' 'coffee Shop' 'coffee Store' 'diesel Fuel Supplier' 'gas Station' 'snack Bar' 'soft Drinks Shop'],"[array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)]",0x88e7894cbd21c68d:0x190a608ce6773420,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e7894cbd21c68d:0x190a608ce6773420?authuser=-1&hl=en&gl=us
Chevron,3001 S Orlando Dr,Sanford,FL,32773,28.7689006,-81.28044109999999,2.4,16,['gas Station' 'convenience Store' 'diesel Fuel Supplier' 'fuel Pump' 'gas Company'],,0x88e71333eead20eb:0xb496b4d5e14f690d,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e71333eead20eb:0xb496b4d5e14f690d?authuser=-1&hl=en&gl=us
Texaco,701 Belvedere Rd,West Palm Beach,FL,33405,26.6906121,-80.0588312,2.4,8,['gas Station' 'auto Repair Shop' 'convenience Store' 'diesel Fuel Supplier' 'fuel Pump' 'gas Company'],"[array(['Tuesday', '6AM–11PM'], dtype=object)
 array(['Wednesday', '6AM–11PM'], dtype=object)
 array(['Thursday', '6AM–11PM'], dtype=object)
 array(['Friday', '6AM–11PM'], dtype=object)
 array(['Saturday', '6AM–11PM'], dtype=object)
 array(['Sunday', '7AM–10PM'], dtype=object)
 array(['Monday', '6AM–11PM'], dtype=object)]",0x88d8d64eb6951ab9:0xa13296fab46d974f,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d8d64eb6951ab9:0xa13296fab46d974f?authuser=-1&hl=en&gl=us
Circle K,933 W Pipkin Rd,Lakeland,FL,33813,27.975461799999998,-81.972284,3.1,8,['convenience Store' 'atm' 'coffee Shop' 'diesel Fuel Supplier' 'gas Station' 'public Bathroom' 'snack Bar' 'soft Drinks Shop'],"[array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)]",0x88dd395ef150b41d:0xa9fa84d5bbaeb2ba,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd395ef150b41d:0xa9fa84d5bbaeb2ba?authuser=-1&hl=en&gl=us
Kangaroo Express,2185 W New York Ave,DeLand,FL,32720,29.027090299999998,-81.3478025,3.7,8,['convenience Store' 'atm' 'coffee Shop' 'coffee Store' 'diesel Fuel Supplier' 'gas Station' 'snack Bar' 'soft Drinks Shop'],"[array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)]",0x88e704b702eb3799:0xa031a2c93515ac8c,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e704b702eb3799:0xa031a2c93515ac8c?authuser=-1&hl=en&gl=us
Chevron,1501 S Flamingo Rd,Pembroke Pines,FL,33027,25.994636699999997,-80.3111752,2.1,28,['gas Station' 'auto Repair Shop' 'convenience Store' 'diesel Fuel Supplier' 'fuel Pump' 'gas Company'],"[array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)]",0x88d9a5d744613175:0xd114190ca7a7493e,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9a5d744613175:0xd114190ca7a7493e?authuser=-1&hl=en&gl=us
Kangaroo Express,4766 Coastal Hwy,Crawfordville,FL,32327,30.141644,-84.3144745,2.4,7,['convenience Store' 'atm' 'coffee Shop' 'diesel Fuel Supplier' 'gas Station' 'snack Bar'],"[array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)]",0x88ec8730040bc815:0xe3b3524d6728fa9c,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88ec8730040bc815:0xe3b3524d6728fa9c?authuser=-1&hl=en&gl=us
Kangaroo Express,2625 Beville Rd,Daytona Beach,FL,32119,29.1570261,-81.0705674,3.3,7,['convenience Store' 'atm' 'coffee Shop' 'coffee Store' 'diesel Fuel Supplier' 'gas Station' 'snack Bar' 'soft Drinks Shop'],"[array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)]",0x88e6d8d23130f6c7:0x2d44eaf356d28631,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e6d8d23130f6c7:0x2d44eaf356d28631?authuser=-1&hl=en&gl=us
Chevron,6901 W Broward Blvd,Plantation,FL,33317,26.121179599999998,-80.2384493,1.5,8,['gas Station' 'auto Repair Shop' 'convenience Store' 'diesel Fuel Supplier' 'fuel Pump' 'gas Company'],"[array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)]",0x88d907a5c34e3091:0x8621abf34f4b8fe5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d907a5c34e3091:0x8621abf34f4b8fe5?authuser=-1&hl=en&gl=us
Texaco,9290 NW 25th St,Miami,FL,33172,25.796624899999998,-80.3463737,3.4,5,['gas Station' 'auto Repair Shop' 'convenience Store' 'diesel Fuel Supplier' 'fuel Pump' 'gas Company'],"[array(['Sunday', '9AM–8PM'], dtype=object)
 array(['Monday', '8AM–10PM'], dtype=object)
 array(['Tuesday', '8AM–10PM'], dtype=object)
 array(['Wednesday', '8AM–10PM'], dtype=object)
 array(['Thursday', '8AM–10PM'], dtype=object)
 array(['Friday', '8AM–10PM'], dtype=object)
 array(['Saturday', '8AM–10PM'], dtype=object)]",0x88d9b943d6fbe345:0xf91f2f54e91c3bbc,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b943d6fbe345:0xf91f2f54e91c3bbc?authuser=-1&hl=en&gl=us
Chevron,1909 W Atlantic Ave,Delray Beach,FL,33444,26.461373899999998,-80.0930839,3.0,16,['gas Station' 'auto Repair Shop' 'convenience Store' 'diesel Fuel Supplier' 'fuel Pump' 'gas Company'],"[array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)]",0x88d8dff9859e3ce7:0x6076480b879b366c,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d8dff9859e3ce7:0x6076480b879b366c?authuser=-1&hl=en&gl=us
